subject,question_id,gold,def8_tok,def8_lat_s,gate39_tok,gate39_lat_s,tok_delta(gate-def),lat_delta(gate-def)
biology,2804,B,2123,106.8,1804,103.3,-319,-3.5
biology,2805,D,1171,62.9,1648,100.2,477,37.3
biology,2806,C,2181,110.3,2175,126.3,-6,16.1
biology,2808,C,2583,133.9,1424,84.2,-1159,-49.7
biology,2809,A,1523,75.3,1413,80.7,-110,5.4
biology,2810,F,1703,88.5,1760,104.8,57,16.3
biology,2811,F,1279,62.0,1231,68.9,-48,7.0
biology,2812,H,1786,91.5,1430,84.6,-356,-6.9
biology,2813,D,2039,101.3,989,57.3,-1050,-44.1
biology,2814,A,2147,106.3,1527,86.1,-620,-20.2
biology,2815,A,1520,75.5,901,53.5,-619,-22.0
biology,2817,E,1364,68.5,1286,75.0,-78,6.5
biology,2818,D,1231,65.9,1107,69.5,-124,3.6
biology,2819,C,1516,77.5,978,54.6,-538,-22.9
biology,2823,J,1611,86.9,1309,77.8,-302,-9.1
biology,2824,F,2737,155.7,2232,137.6,-505,-18.1
biology,2825,G,2744,154.7,1610,98.8,-1134,-55.9
biology,2826,J,3419,192.6,3034,184.0,-385,-8.6
biology,2827,D,2057,115.3,1232,77.9,-825,-37.3
biology,2828,I,3401,202.8,4596,306.9,1195,104.1
biology,2829,E,1176,65.6,858,54.9,-318,-10.7
biology,2830,B,1817,100.2,1496,91.0,-321,-9.2
biology,2831,I,1681,95.5,1074,69.9,-607,-25.6
biology,2832,A,4326,279.3,3490,242.3,-836,-37.0
biology,2833,H,5510,377.5,4657,337.7,-853,-39.8
biology,2834,G,2780,151.7,2249,132.6,-531,-19.1
biology,2835,E,3176,181.3,4382,281.6,1206,100.3
biology,2836,H,3734,218.4,3586,227.2,-148,8.9
biology,2838,A,2759,170.8,3093,208.3,334,37.6
biology,2839,H,2513,141.3,2885,178.1,372,36.9
biology,2840,H,2524,138.3,3120,188.0,596,49.7
biology,2841,H,1859,101.0,1676,99.4,-183,-1.6
biology,2842,E,2284,125.8,2794,169.1,510,43.3
biology,2843,A,3337,189.2,2811,170.9,-526,-18.4
biology,2844,G,2218,128.8,2551,161.1,333,32.4
biology,2845,B,1726,94.9,1034,64.8,-692,-30.1
biology,2846,G,1137,60.8,846,50.9,-291,-9.9
biology,2847,D,1595,84.4,1468,84.9,-127,0.5
biology,2848,F,2643,150.2,2404,148.2,-239,-2.0
biology,2849,D,2166,120.7,2133,129.4,-33,8.7
biology,2850,D,1720,92.1,1629,95.1,-91,2.9
biology,2851,A,1034,60.3,1140,71.6,106,11.3
biology,2852,C,1690,93.1,1661,100.0,-29,6.9
biology,2853,I,1739,90.1,1056,60.3,-683,-29.8
biology,2854,A,2258,126.8,2254,138.0,-4,11.2
biology,2855,G,2268,124.4,2068,123.3,-200,-1.1
biology,2856,D,1634,84.3,1505,84.8,-129,0.6
business,70,I,1272,64.6,1113,67.7,-159,3.1
business,71,F,1902,96.4,2273,135.9,371,39.5
business,72,J,2406,124.9,2964,181.7,558,56.9
business,74,G,1915,98.2,1055,66.8,-860,-31.4
business,75,A,1827,91.8,3705,228.3,1878,136.5
business,76,D,1480,73.1,1386,81.2,-94,8.1
business,77,J,1877,91.0,1885,107.6,8,16.5
business,78,E,1193,58.1,1013,59.0,-180,0.9
business,79,F,1829,90.0,1601,92.9,-228,2.9
business,80,E,1679,81.7,1221,70.7,-458,-11.0
business,82,J,1513,72.7,1571,87.3,58,14.5
business,84,F,3045,153.4,2068,109.7,-977,-43.7
business,85,J,1468,78.2,1765,102.8,297,24.6
business,87,A,3452,194.4,3983,249.0,531,54.6
business,88,B,5366,344.7,4357,295.3,-1009,-49.4
business,89,D,1944,106.8,1782,107.9,-162,1.1
business,90,J,3185,189.4,4234,281.6,1049,92.2
business,91,I,2917,166.0,2239,138.5,-678,-27.5
business,92,E,1067,58.6,1938,113.3,871,54.7
business,93,H,2496,135.2,2325,137.0,-171,1.8
business,95,J,2300,138.1,1488,102.4,-812,-35.7
business,96,H,2305,130.7,2396,149.1,91,18.4
business,97,F,1192,64.0,593,38.5,-599,-25.4
business,98,H,3370,187.6,4502,284.3,1132,96.8
business,99,C,1371,74.3,2111,124.6,740,50.2
business,100,E,1342,72.4,2229,131.2,887,58.8
business,101,H,2390,136.4,1385,89.6,-1005,-46.8
business,103,I,2339,139.4,2636,172.3,297,32.8
business,104,I,2912,161.1,1161,71.0,-1751,-90.1
business,105,I,3705,214.1,2980,183.5,-725,-30.6
business,106,H,2825,154.1,3193,191.7,368,37.6
business,107,A,1409,76.3,1400,83.2,-9,6.9
business,108,H,1745,102.8,1702,110.5,-43,7.7
business,110,G,4303,247.6,2887,170.3,-1416,-77.3
business,111,A,2058,113.2,1440,87.9,-618,-25.4
business,112,G,5338,322.7,3714,227.6,-1624,-95.1
business,114,B,1855,103.3,1437,89.0,-418,-14.3
business,117,I,1000,54.5,1086,64.4,86,9.9
business,118,G,2643,154.4,3243,208.9,600,54.6
business,119,F,4176,241.9,1156,70.6,-3020,-171.2
business,120,H,1756,94.3,1274,76.1,-482,-18.2
chemistry,3526,C,2855,150.0,2161,125.7,-694,-24.3
chemistry,3527,D,2026,99.2,2628,151.1,602,52.0
chemistry,3528,B,2865,150.2,2878,172.5,13,22.3
chemistry,3529,J,2658,138.6,2918,175.4,260,36.8
chemistry,3530,E,3386,197.5,3108,203.5,-278,6.0
chemistry,3533,D,2171,110.9,1895,110.2,-276,-0.7
chemistry,3534,I,2553,129.3,2146,125.6,-407,-3.6
chemistry,3535,E,2643,132.6,2215,129.6,-428,-3.0
chemistry,3536,J,3996,210.3,3839,234.5,-157,24.1
chemistry,3537,I,2233,116.0,2739,168.5,506,52.5
chemistry,3539,B,2081,105.1,1825,108.9,-256,3.8
chemistry,3540,B,1189,56.8,1314,74.2,125,17.4
chemistry,3541,C,3190,173.7,3581,214.9,391,41.3
chemistry,3543,G,4005,227.9,3290,198.1,-715,-29.8
chemistry,3544,I,1130,63.2,2974,181.0,1844,117.8
chemistry,3545,D,5494,346.6,7897,586.2,2403,239.6
chemistry,3546,A,6078,382.3,6603,456.9,525,74.5
chemistry,3547,E,2364,129.7,2740,165.9,376,36.2
chemistry,3548,C,4502,266.7,3681,230.8,-821,-35.9
chemistry,3549,H,5618,347.6,7909,575.2,2291,227.6
chemistry,3550,H,2750,156.3,3164,197.2,414,40.9
chemistry,3551,B,2239,124.8,3059,189.1,820,64.3
chemistry,3552,J,3882,220.1,4632,294.1,750,74.1
chemistry,3553,G,2544,141.6,2996,183.8,452,42.2
chemistry,3554,H,3091,176.2,2091,128.8,-1000,-47.4
chemistry,3555,C,7551,532.4,2783,189.8,-4768,-342.6
chemistry,3556,A,5604,350.6,4922,324.6,-682,-26.1
chemistry,3557,D,3023,175.9,1507,98.0,-1516,-77.9
chemistry,3558,J,4899,304.7,3381,219.5,-1518,-85.2
chemistry,3559,E,5430,340.6,2347,147.4,-3083,-193.2
chemistry,3561,I,5043,312.4,3810,246.0,-1233,-66.4
chemistry,3562,C,7761,544.4,6068,433.4,-1693,-111.0
chemistry,3564,G,2485,134.4,1528,90.7,-957,-43.7
chemistry,3565,B,2529,135.2,2847,168.3,318,33.1
chemistry,3566,F,6972,453.5,5056,327.2,-1916,-126.2
chemistry,3567,H,6554,420.2,4073,256.6,-2481,-163.7
chemistry,3568,I,5584,345.9,5340,353.5,-244,7.6
